T LK LCl RK RCl PK PCl q
0 32256 32256 0 1 0 0 1
4 32140 32155 47 41 69 61 -21
8 32067 32078 106 95 83 84 -22
12 32004 32009 155 154 97 94 -6
16 31955 31946 206 219 95 92 22
20 31905 31884 269 260 82 113 12
24 31850 31836 323 315 83 106 6
28 31800 31807 361 361 95 89 -7
32 31755 31773 403 391 98 93 -30
36 31717 31741 447 420 92 96 -51
40 31690 31701 478 463 88 93 -26
44 31671 31669 508 492 77 96 -14
48 31631 31634 535 522 90 101 -16
52 31592 31606 560 560 104 91 -14
56 31559 31570 602 599 95 88 -14
60 31536 31529 632 614 88 114 -11
64 31500 31506 647 655 109 96 2
68 31483 31477 686 680 87 100 0
72 31443 31441 715 710 98 106 -3
76 31418 31414 742 733 96 110 -5
80 31401 31392 762 760 93 105 7
84 31361 31367 791 793 104 97 -4
88 31346 31329 810 806 100 122 13
92 31309 31304 861 848 86 105 -8
96 31278 31282 884 870 94 105 -18
100 31264 31253 895 891 97 113 7
104 31232 31237 917 923 107 97 1
108 31219 31228 932 929 105 100 -12
112 31207 31218 952 949 97 90 -14
116 31187 31186 972 972 97 99 1
120 31163 31164 988 984 105 109 -5
124 31146 31133 1018 1004 92 120 -1
128 31129 31113 1033 1033 94 111 16
132 31101 31115 1057 1043 98 99 -28
136 31083 31087 1074 1060 99 110 -18
140 31069 31069 1086 1086 101 102 0
144 31053 31052 1104 1106 99 99 3
